mod_turb,fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
x,25,55,0,30,60,0,0,0,2,-28,53,36,298,-26.5,13,25,290,-9.5,6,22,297,-5.8,8,24,296,-23.6,33,26,287,-6.7,7,14,292,-1,-3,86.28,0,1,30.15,6.21,0,1500,3000,10000
x,50,50,0,40,45,0,0,0,2,-22.5,88,34,266,-20.5,15,35,263,-7.7,98,22,224,-4.1,69,17,273,-19.9,81,29,247,-5.3,97,19,235,7,5,87.09,150,12,29.94,6.21,0,1500,3500,4500
x,40,80,0,50,95,6,0,0,2,-26,87,17,257,-20.2,75,31,248,-7.5,89,13,282,-2.6,100,17,246,-24.4,1,30,311,-4.5,17,21,311,2,2,100,20,1,29.97,6.21,0,300,1800,10000
x,30,50,0,30,55,6,0,0,1,-20.5,1,51,282,-18.3,30,52,278,-10.4,6,16,287,-5.1,6,22,293,-18.2,23,41,272,-3.4,1,24,291,1,-1,86.49,310,5,30.09,6.21,0,1200,3500,4000
x,25,50,0,30,60,0,0,0,2,-22.6,17,30,275,-20.9,49,27,273,-9.7,13,13,268,-6,10,15,272,-22.1,23,21,282,-4.8,2,16,271,-3,-5,86.07,180,3,30,6.21,0,3000,10000,10000
x,40,75,0,35,80,9,0,0,2,-28,42,31,274,-25.2,32,32,268,-11.9,6,14,274,-9.4,21,9,273,-24.5,12,38,283,-8,5,15,290,-3,-5,86.07,0,2,30,6.21,0,6000,10000,10000
x,30,60,0,20,70,9,0,0,2,-26.9,10,44,292,-22.2,9,41,290,-18.6,35,13,277,-14.1,64,12,276,-23.8,74,33,269,-7.7,1,21,289,-3,-5,86.07,330,2,30.06,6.21,0,1300,11000,13000
x,50,90,6,45,95,9,1,1,3,-35.2,6,35,266,-24.3,22,63,265,-21.8,80,23,227,-16.2,62,16,245,-26.5,30,65,273,-20.4,3,22,283,-5,-7,85.85,180,11,29.65,1.86,0,800,1000,2000
x,50,110,12,40,115,9,0,0,3,-36.2,20,41,287,-31.4,5,49,279,-28.8,82,17,286,-23.5,45,17,258,-18.1,6,72,287,-22.4,17,24,296,-6,-16,45.1,0,2,29.77,6.21,0,4000,5000,10000
x,45,80,6,35,90,9,0,0,3,-26.1,11,55,287,-19.7,33,56,281,-24.8,85,22,268,-17.3,8,27,289,-21.8,69,38,281,-14.5,2,23,299,-9,-13,72.73,0,2,29.68,6.21,0,3000,5000,10000
x,35,85,6,35,95,6,0,0,3,-37.5,27,21,309,-29.4,5,33,285,-21.2,45,13,302,-19.6,20,9,328,-23.6,1,49,300,-23.4,93,12,311,-10,-16,61.51,0,2,29.91,6.21,0,5000,10000,10000
x,25,50,6,35,70,6,0,0,2,-25.3,3,44,314,-21.1,4,49,306,-15.9,13,22,325,-11,6,27,328,-21.4,89,30,281,-8.2,3,14,297,-10,-13,78.68,0,2,30.03,6.21,0,11000,14000,10000
x,50,80,6,45,90,12,0,0,3,-24.3,6,48,268,-20.6,3,35,278,-15.2,83,26,244,-10.3,68,24,263,-22.9,10,37,263,-8.6,13,21,275,-1,-5,74.26,0,2,29.71,6.21,0,2000,4000,10000
x,25,60,6,20,50,0,0,0,2,-31.4,13,39,269,-28.6,5,46,244,-22.3,82,11,286,-14.6,46,18,274,-29.9,12,30,272,-17.2,5,19,293,-6,-11,67.73,350,3,29.91,6.21,0,4000,10000,10000
x,25,90,6,20,100,9,0,0,3,-33.6,31,28,275,-30.5,14,30,265,-21.7,77,16,261,-18.2,37,15,278,-30.6,57,35,271,-15.5,17,18,283,-6,-9,79.31,0,1,30.09,6.21,0,6000,10000,10000
x,40,90,6,40,90,6,0,0,2,-25.9,73,39,264,-23.5,84,35,257,-19.9,51,17,267,-12.4,25,11,262,-22.8,79,36,255,-14.2,84,21,245,-2,-5,79.92,0,1,30.18,6.21,0,1000,2000,3000
x,30,80,6,20,60,6,0,0,2,-26.5,1,21,239,-22.8,89,39,245,-14.7,53,7,243,-10.4,94,16,211,-25.6,2,24,265,-14.4,48,7,329,-3,-4,92.8,330,6,30.18,2.49,0,500,1500,2000
x,30,60,0,40,60,6,0,0,2,-26.4,22,33,249,-22.6,84,32,255,-15,42,8,261,-11.6,96,8,225,-21.7,9,36,248,-13.7,91,7,293,-6,-7,92.63,0,1,29.94,1.86,0,3000,8000,10000
x,30,80,6,60,95,6,1,1,3,-27,1,41,254,-23.2,14,34,251,-19.1,53,14,259,-10.8,13,16,230,-26.1,3,40,260,-18,6,18,265,-2,-8,63.51,150,11,29.8,6.21,0,3000,5000,10000
x,20,80,6,20,75,9,0,0,3,-34.7,3,29,261,-28.3,5,40,258,-21.1,73,9,252,-17.7,42,8,291,-33,3,36,275,-21.3,72,8,296,-5,-10,67.96,180,3,29.83,6.21,0,1500,10000,10000
x,25,70,6,30,70,9,1,1,2,-37.6,21,25,259,-31.3,9,40,249,-22,87,7,306,-19.1,87,7,219,-33.8,5,38,269,-24.9,65,14,260,-5,-12,57.96,160,14,29.8,6.21,0,3000,5000,7000
x,20,60,6,30,60,6,0,0,2,-39.9,11,15,254,-33.6,10,36,248,-22.7,40,15,256,-20.6,67,7,253,-36.4,10,27,279,-24.1,8,13,288,-5,-12,57.96,170,12,29.83,6.21,0,3500,10000,10000
