fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
15,40,0,15,40,0,0,0,0,-21.6,2,18,257,-22.5,9,18,270,-7.1,4,10,227,-6.1,12,4,265,-18,91,29,257,-5.3,99,15,228,0,-7,59.27,130,3,30.21,6.21,0,2000,10000,10000
20,45,0,10,35,0,0,0,0,-21.1,6,19,321,-21.4,64,15,287,-5.7,22,9,8,-5.6,55,3,24,-16.7,3,21,331,-0.9,20,12,353,6,-6,41.84,150,12,30,6.21,0,6000,10000,10000
10,30,0,5,40,0,0,0,0,-19.2,82,24,237,-15.5,6,25,267,-0.7,2,12,222,-0.2,8,5,244,-14.6,55,34,258,3.6,100,28,241,4,-2,64.93,0,1,30.06,6.21,0,500,10000,10000
50,50,0,50,55,0,0,0,0,-14.5,17,38,256,-13.5,11,24,252,-2.9,93,28,246,6,11,23,278,-12.4,84,30,257,2.5,25,15,254,9,7,87.28,140,10,29.8,6.21,0,1000,2500,4000
30,45,0,20,50,0,0,0,0,-21.5,4,48,271,-17.1,9,41,261,-11.2,15,19,271,-4.7,75,15,243,-17.7,48,28,267,-0.2,3,22,279,10,6,76.18,330,13,29.68,6.21,0,1000,2000,5000
25,70,6,25,70,0,0,0,0,-39.1,69,25,285,-32.1,68,30,242,-18.4,48,18,281,-16.3,83,17,295,-22.8,7,42,299,-13.6,93,14,298,0,-5,69.04,320,7,29.91,6.21,0,2000,13000,10000
30,55,0,25,55,0,0,0,0,-27.7,29,20,285,-25,11,23,270,-9.6,8,14,279,-11.3,29,13,289,-19.1,12,32,288,-6.1,8,15,274,2,-5,59.79,350,7,29.94,6.21,0,2000,10000,10000
35,65,0,30,65,0,0,0,0,-24.8,27,26,271,-20.7,75,24,261,-9.2,20,7,286,-6.5,13,14,277,-20,52,22,265,-6.5,82,3,16,2,-4,64.46,330,5,30,6.21,0,10000,10000,10000
10,45,0,15,50,0,0,0,0,-29.7,41,18,289,-25.5,10,21,271,-10.3,18,19,307,-9.8,58,17,295,-22,12,31,301,-6.1,10,13,321,4,-7,44.55,0,2,29.88,6.21,0,10000,10000,10000
40,60,0,35,60,0,0,0,0,-27.1,84,40,266,-25.5,33,31,291,-6.4,70,33,266,-7.2,50,23,280,-17.2,64,30,274,-0.8,24,15,285,7,-3,48.96,0,3,29.94,6.21,0,6000,10000,10000
45,70,0,30,80,0,0,0,0,-26.2,25,38,293,-24.2,9,40,282,-8.8,8,18,281,-11.3,100,15,256,-14.2,82,38,266,-4.3,43,11,309,3,1,86.69,340,6,29.77,6.21,0,500,1000,1500
30,55,0,35,55,0,0,0,0,-22,11,37,275,-20,14,36,268,-10.1,93,24,266,-10,75,21,279,-17.3,13,27,272,-3.6,65,11,271,1,-6,59.53,320,3,29.97,6.21,0,2000,2500,10000
25,55,0,30,50,0,0,0,0,-26.6,90,41,232,-20.6,85,27,224,-8.4,7,19,256,-4.1,99,21,223,-15.9,8,55,267,-9.3,64,23,264,4,0,75.16,360,3,29.91,6.21,0,4500,12000,10000
45,55,9,30,55,0,0,0,0,-32.1,11,28,265,-19.8,6,55,262,-14.7,24,17,278,-12.2,48,14,274,-20.2,20,44,265,-11.1,19,22,298,5,2,80.93,180,11,29.68,6.21,0,600,3500,5000
10,53,6,10,45,0,0,0,0,-10.5,6,11,292,-9.6,8,14,306,5.2,8,3,249,4.9,10,8,340,-7.5,84,17,235,8,63,10,157,19,15,77.6,0,2,30.24,6.21,0,2000,10000,10000
10,20,0,10,25,0,0,0,0,-8.2,95,16,289,-8.9,86,9,307,5.4,98,8,229,6.1,12,2,327,-5.4,34,27,227,9.1,59,26,206,19,14,72.74,20,3,30.21,6.21,0,5000,15000,10000
